"","p","n","cor","pval"
"786",5,200,0,0.382
"787",5,200,0,0.94
"788",5,200,0,0.604
"789",5,200,0,0.15
"790",5,200,0,0.711
"791",5,200,0,0.689
"792",5,200,0,0.161
"793",5,200,0,0.552
"794",5,200,0,0.073
"795",5,200,0,0.509
"796",5,200,0,0.724
"797",5,200,0,0.684
"798",5,200,0,0.842
"799",5,200,0,0.368
"800",5,200,0,0.907
"801",5,200,0,0.913
"802",5,200,0,0.573
"803",5,200,0,0.769
"804",5,200,0,0.309
"805",5,200,0,0.118
"806",5,200,0,0.327
"807",5,200,0,0.535
"808",5,200,0,0.512
"809",5,200,0,0.253
"810",5,200,0,0.353
"811",5,200,0,0.547
"812",5,200,0,0.227
"813",5,200,0,0.194
"814",5,200,0,0.25
"815",5,200,0,0.93
"816",5,200,0,0.444
"817",5,200,0,0.071
"818",5,200,0,0.968
"819",5,200,0,0.843
"820",5,200,0,0.931
"821",5,200,0,0.605
"822",5,200,0,0.597
"823",5,200,0,0.894
"824",5,200,0,0.512
"825",5,200,0,0.5
"826",5,200,0,0.00700000000000001
"827",5,200,0,0.946
"828",5,200,0,0.575
"829",5,200,0,0.00700000000000001
"830",5,200,0,0.361
"831",5,200,0,0.934
"832",5,200,0,0.521
"833",5,200,0,0.274
"834",5,200,0,0.381
"835",5,200,0,0.828
"836",5,200,0,0.535
"837",5,200,0,0.054
"838",5,200,0,0.964
"839",5,200,0,0.056
"840",5,200,0,0.583
"841",5,200,0,0.943
"842",5,200,0,0.11
"843",5,200,0,0.25
"844",5,200,0,0.639
"845",5,200,0,0.472
"846",5,200,0,0.468
"847",5,200,0,0.44
"848",5,200,0,0.049
"849",5,200,0,0.463
"850",5,200,0,0.94
"851",5,200,0,0.603
"852",5,200,0,0.0590000000000001
"853",5,200,0,0.048
"854",5,200,0,0.258
"855",5,200,0,0.116
"856",5,200,0,0.325
"857",5,200,0,0.974
"858",5,200,0,0.079
"859",5,200,0,0.111
"860",5,200,0,0.527
"861",5,200,0,0.137
"862",5,200,0,0.604
"863",5,200,0,0.52
"864",5,200,0,0.156
"865",5,200,0,0.00800000000000001
"866",5,200,0,0.382
"867",5,200,0,0.598
"868",5,200,0,0.74
"869",5,200,0,0.558
"870",5,200,0,0.077
"871",5,200,0,0.055
"872",5,200,0,0.713
"873",5,200,0,0.0659999999999999
"874",5,200,0,0.316
"875",5,200,0,0.712
"876",5,200,0,0.176
"877",5,200,0,0.445
"878",5,200,0,0.718
"879",5,200,0,0.727
"880",5,200,0,0.273
"881",5,200,0,0.083
"882",5,200,0,0.586
"883",5,200,0,0.795
"884",5,200,0,0.023
"885",5,200,0,0.66
"886",5,200,0,0.405
"887",5,200,0,0.721
"888",5,200,0,0.9
"889",5,200,0,0.736
"890",5,200,0,0.617
"891",5,200,0,0.265
"892",5,200,0,0.418
"893",5,200,0,0.851
"894",5,200,0,0.502
"895",5,200,0,0.48
"896",5,200,0,0.265
"897",5,200,0,0.668
"898",5,200,0,0.294
"899",5,200,0,0.355
"900",5,200,0,0.758
"901",5,200,0,0.756
"902",5,200,0,0.669
"903",5,200,0,0.711
"904",5,200,0,0.365
"905",5,200,0,0.511
"906",5,200,0,0.621
"907",5,200,0,0.839
"908",5,200,0,0.49
"909",5,200,0,0.021
"910",5,200,0,0.643
"911",5,200,0,0.364
"912",5,200,0,0.093
"913",5,200,0,0.636
"914",5,200,0,0.346
"915",5,200,0,0.083
"916",5,200,0,0.032
"917",5,200,0,0.3
"918",5,200,0,0.775
"919",5,200,0,0.188
"920",5,200,0,0.748
"921",5,200,0,0.249
"922",5,200,0,0.07
"923",5,200,0,0.317
"924",5,200,0,0.234
"925",5,200,0,0.049
"926",5,200,0,0.441
"927",5,200,0,0.399
"928",5,200,0,0.909
"929",5,200,0,0.013
"930",5,200,0,0.558
"931",5,200,0,0.874
"932",5,200,0,0.325
"933",5,200,0,0.558
"934",5,200,0,0.971
"935",5,200,0,0.602
"936",5,200,0,0.931
"937",5,200,0,0.579
"938",5,200,0,0.45
"939",5,200,0,0.845
"940",5,200,0,0.144
"941",5,200,0,0.587
"942",5,200,0,0.664
"943",5,200,0,0.962
"944",5,200,0,0.214
"945",5,200,0,0.272
"946",5,200,0,0.667
"947",5,200,0,0.695
"948",5,200,0,0.948
"949",5,200,0,0.987
"950",5,200,0,0.674
"951",5,200,0,0.332
"952",5,200,0,0.095
"953",5,200,0,0.096
"954",5,200,0,0.221
"955",5,200,0,0.337
"956",5,200,0,0.218
"957",5,200,0,0.729
"958",5,200,0,0.25
"959",5,200,0,0.076
"960",5,200,0,0.025
"961",5,200,0,0.941
"962",5,200,0,0.546
"963",5,200,0,0.726
"964",5,200,0,0.309
"965",5,200,0,0.569
"966",5,200,0,0.368
"967",5,200,0,0.0600000000000001
"968",5,200,0,0.97
"969",5,200,0,0.208
"970",5,200,0,0.722
"971",5,200,0,0.012
"972",5,200,0,0.752
"973",5,200,0,0.504
"974",5,200,0,0.776
"975",5,200,0,0.905
"976",5,200,0,0.803
"977",5,200,0,0.513
"978",5,200,0,0.628
"979",5,200,0,0.161
"980",5,200,0,0.447
"981",5,200,0,0.722
"982",5,200,0,0.53
"983",5,200,0,0.551
"984",5,200,0,0.271
"985",5,200,0,0.583
"986",5,200,0,0.968
"987",5,200,0,0.46
"988",5,200,0,0.352
"989",5,200,0,0.854
"990",5,200,0,0.338
"991",5,200,0,0.34
"992",5,200,0,0.703
"993",5,200,0,0.86
"994",5,200,0,0.754
"995",5,200,0,0.867
"996",5,200,0,0.037
"997",5,200,0,0.045
"998",5,200,0,0.722
"999",5,200,0,0.582
"1000",5,200,0,0.045
"1001",5,200,0,0.543
"1002",5,200,0,0.916
"1003",5,200,0,0.263
"1004",5,200,0,0.837
"1005",5,200,0,0.932
"1006",5,200,0,0.294
